Time,vehicle_local_positionax,vehicle_local_positionay,vehicle_local_positionaz,timestamp_ms,vehicle_local_positiontimestamp_sample,vehicle_local_positionvx,vehicle_local_positionvy,vehicle_local_positionvz,vehicle_local_positionx,vehicle_local_positiony,vehicle_local_positionz,vehicle_local_position_setpointacceleration00,vehicle_local_position_setpointacceleration01,vehicle_local_position_setpointacceleration02,vehicle_local_position_setpointvx,vehicle_local_position_setpointvy,vehicle_local_position_setpointvz,vehicle_local_position_setpointx,vehicle_local_position_setpointy,vehicle_local_position_setpointz
0 sec,-0.00705420833333333,0.0225946666666667,-0.0301779166666667,310028,310028000,0.010689,0.00775441666666667,0.008507625,14.030917625,0.657080083333333,-5.10023758333333,-0.00154504166666667,0.0448412916666667,-0.124207625,0.005306875,0.01187175,0.00973229166666667,14.036484,0.669575,-5.090495
0.1 sec,-0.01856775,0.006403,0.0258575,310128,310128000,0.009789,0.0080565,0.00969825,14.03365825,0.6561655,-5.1015605,-0.00236275,0.04671525,-0.12334825,0.00270375,0.0127405,0.01105625,14.036484,0.669575,-5.090495
0.2 sec,-0.0127010416666667,0.00955016666666667,0.00898358333333333,310228,310228000,0.009252375,0.00871325,0.0106379166666667,14.0360552916667,0.655593708333333,-5.102464625,-0.00662341666666667,0.0443894166666667,-0.123233041666667,0.000426,0.013283875,0.011960625,14.036484,0.669575,-5.090495
0.3 sec,0.00781230769230769,-0.0350197692307692,0.00722246153846154,310328,310328000,0.00895415384615385,0.00939469230769231,0.0116184615384615,14.0381083846154,0.655517153846154,-5.10289438461538,-0.0100199230769231,0.0450736153846154,-0.125225461538462,-0.00152361538461538,0.0133566153846154,0.0123903846153846,14.036484,0.669575,-5.090495
0.4 sec,-0.00124208333333333,-0.028675375,0.0223460416666667,310428,310428000,0.00766925,0.00891333333333333,0.0127935833333333,14.0395544166667,0.65422525,-5.10317254166667,-0.00835170833333333,0.051366625,-0.128761,-0.00289791666666667,0.0145838333333333,0.0126685416666667,14.036484,0.669575,-5.090495
0.5 sec,-0.00703730769230769,-0.00919946153846154,0.0194442307692308,310528,310528000,0.00556646153846154,0.00864730769230769,0.0140559230769231,14.0403982307692,0.652094769230769,-5.10316553846154,-0.00519284615384615,0.0556271538461538,-0.133975230769231,-0.00369923076923077,0.016608,0.0126607692307692,14.036484,0.669575,-5.090495
0.6 sec,0.00405758333333333,-0.00380195833333333,0.0108738333333333,310628,310628000,0.0036735,0.00912941666666667,0.0135907083333333,14.0409819166667,0.650513,-5.102827375,-0.00430058333333333,0.0552869583333333,-0.133737916666667,-0.004254125,0.0181099583333333,0.0123231666666667,14.036484,0.669575,-5.090495
0.7 sec,0.00246223076923077,0.0164243076923077,0.0147283846153846,310728,310728000,0.00210753846153846,0.00986630769230769,0.0137910769230769,14.0414005384615,0.649690307692308,-5.10222453846154,-0.003136,0.0539376153846154,-0.137312692307692,-0.00465215384615385,0.0188917692307692,0.0117197692307692,14.036484,0.669575,-5.090495
0.8 sec,0.00683407692307692,0.0120291923076923,0.0275637307692308,310828,310828000,0.00165730769230769,0.00996003846153846,0.0137505,14.0428766153846,0.647843769230769,-5.10230138461538,-0.00727880769230769,0.0592699230769231,-0.137227961538462,-0.00605346153846154,0.0206461923076923,0.0117963846153846,14.036484,0.669575,-5.090495
0.9 sec,0.01512975,0.00717225,0.020909,310928,310928000,0.00184475,0.0099925,0.0137495,14.04485075,0.645685,-5.10218375,-0.011855,0.06329775,-0.13805425,-0.007929,0.02269675,0.01167875,14.036484,0.669575,-5.090495
1 sec,0.0230957916666667,0.00561654166666667,-0.00453454166666667,311028,311028000,0.00209929166666667,0.010325125,0.013125375,14.046555,0.644237041666667,-5.101966375,-0.01639725,0.0659055833333333,-0.136796791666667,-0.00954804166666667,0.02407225,0.011461375,14.036484,0.669575,-5.090495
